"","nu","vaxrate","beta","betap","contrast","emmean","SE","df","lower.CL","upper.CL"
"38","0.3","0","2.1","1.5",".",4.42340436617498,0.0444467827826205,4752,4.27068135195812,4.57612738039184
"39","0.3","0","2.1","1.75",".",4.07372017037515,0.0444467827826219,4752,3.92099715615829,4.22644318459202
"40","0.3","0","2.1","2",".",3.7850309139239,0.0444467827826224,4752,3.63230789970704,3.93775392814077
"41","0","0.3","2.1","1.25",".",6.87364244454557,0.0444467827826201,4752,6.72091943032871,7.02636545876243
"42","0","0.3","2.1","1.5",".",5.51263468042327,0.0444467827826209,4752,5.35991166620641,5.66535769464013
"43","0","0.3","2.1","1.75",".",4.72431346699221,0.0444467827826208,4752,4.57159045277535,4.87703648120907
"44","0","0.3","2.1","2",".",4.14884914752913,0.0444467827826194,4752,3.99612613331227,4.30157216174598
"45","0.3","0.3","2.1","1.25",".",3.94355452573052,0.0444467827826235,4752,3.79083151151365,4.09627753994739
"46","0.3","0.3","2.1","1.5",".",3.57603620663184,0.0444467827826196,4752,3.42331319241498,3.7287592208487
"47","0.3","0.3","2.1","1.75",".",3.30394663638468,0.0444467827826218,4752,3.15122362216782,3.45666965060155
"48","0.3","0.3","2.1","2",".",3.0748078738002,0.0444467827826186,4752,2.92208485958335,3.22753088801706
"49","0","0","1.4",".","linear",-28.8324739413143,0.198772055366218,4752,-29.5154720243495,-28.1494758582792
"50","0","0","1.4",".","quadratic",3.38466471254323,0.0888935655652428,4752,3.07921868410951,3.69011074097696
"51","0","0","1.4",".","cubic",-0.686126215824466,0.198772055366217,4752,-1.36912429885961,-0.00312813278932167
"52","0.3","0","1.4",".","linear",-3.97308611511207,0.198772055366222,4752,-4.65608419814723,-3.29008803207691
"53","0.3","0","1.4",".","quadratic",0.27719568282816,0.0888935655652428,4752,-0.0282503456055656,0.582641711261886
"54","0.3","0","1.4",".","cubic",-0.0592648737201437,0.198772055366219,4752,-0.742262956755293,0.623733209315006
"55","0","0.3","1.4",".","linear",-10.7518244911203,0.198772055366222,4752,-11.4348225741555,-10.0688264080852
"56","0","0.3","1.4",".","quadratic",1.23549677993637,0.0888935655652428,4752,0.930050751502647,1.5409428083701
"57","0","0.3","1.4",".","cubic",-0.778566207520824,0.198772055366217,4752,-1.46156429055597,-0.0955681244856795
"58","0.3","0.3","1.4",".","linear",-2.91279391183963,0.198772055366212,4752,-3.59579199487476,-2.2297958288045
"59","0.3","0.3","1.4",".","quadratic",0.122767892418928,0.0888935655652424,4752,-0.182678136014796,0.428213920852653
"60","0.3","0.3","1.4",".","cubic",-0.15838698289632,0.198772055366216,4752,-0.84138506593146,0.524611100138821
"61","0","0","1.75",".","linear",-16.9237526385397,0.19877205536622,4752,-17.6067507215748,-16.2407545555045
"62","0","0","1.75",".","quadratic",1.60575756080369,0.0888935655652421,4752,1.30031153236996,1.91120358923741
"63","0","0","1.75",".","cubic",-0.609539842689675,0.198772055366218,4752,-1.29253792572482,0.0734582403454721
"64","0.3","0","1.75",".","linear",-3.7688044818107,0.198772055366215,4752,-4.45180256484584,-3.08580639877557
"65","0.3","0","1.75",".","quadratic",0.196090298209262,0.0888935655652436,4752,-0.109355730224467,0.50153632664299
"66","0.3","0","1.75",".","cubic",0.0573819757844922,0.198772055366219,4752,-0.625616107250656,0.740380058819641
"67","0","0.3","1.75",".","linear",-9.76962646615103,0.198772055366219,4752,-10.4526245491862,-9.08662838311588
"68","0","0.3","1.75",".","quadratic",0.995557911038146,0.0888935655652435,4752,0.690111882604418,1.30100393947187
"69","0","0.3","1.75",".","cubic",-0.405063589578234,0.198772055366218,4752,-1.08806167261338,0.277934493456913
