"","emmeans.nu","emmeans.betap","emmeans.vaxrate","emmeans.beta","emmeans.emmean","emmeans.SE","emmeans.df","emmeans.lower.CL","emmeans.upper.CL","contrasts.contrast","contrasts.betap","contrasts.vaxrate","contrasts.beta","contrasts.estimate","contrasts.SE","contrasts.df","contrasts.lower.CL","contrasts.upper.CL"
"1","0","1.25","0","1.4",14.9941759171642,0.0444467827826214,4752,14.8945211954799,15.0938306388486,"nu0 - nu0.3","1.25","0","1.4",9.95732528157622,0.0628572430150347,4752,9.83409596194207,10.0805546012104
"2","0.3","1.25","0","1.4",5.036850635588,0.0444467827826225,4752,4.93719591390365,5.13650535727235,"nu0 - nu0.3","1.5","0","1.4",5.7922797156776,0.0628572430150339,4752,5.66905039604344,5.91550903531175
"3","0","1.5","0","1.4",10.2813709235963,0.0444467827826213,4752,10.1817162019119,10.3810256452806,"nu0 - nu0.3","1.75","0","1.4",3.49439933568867,0.0628572430150344,4752,3.37117001605451,3.61762865532282
"4","0.3","1.5","0","1.4",4.48909120791868,0.0444467827826216,4752,4.38943648623433,4.58874592960303,"nu0 - nu0.3","2","0","1.4",2.43682279950511,0.0628572430150342,4752,2.31359347987096,2.56005211913926
"5","0","1.75","0","1.4",7.60396139421218,0.0444467827826217,4752,7.50430667252783,7.70361611589653,"nu0 - nu0.3","1.25","0.3","1.4",3.56580656352641,0.062857243015035,4752,3.44257724389225,3.68903588316056
"6","0.3","1.75","0","1.4",4.10956205852352,0.0444467827826216,4752,4.00990733683917,4.20921678020786,"nu0 - nu0.3","1.5","0.3","1.4",2.10150321691471,0.0628572430150344,4752,1.97827389728056,2.22473253654886
"7","0","2","0","1.4",6.27582111318747,0.0444467827826206,4752,6.17616639150313,6.37547583487182,"nu0 - nu0.3","1.75","0.3","1.4",1.50365392637399,0.0628572430150346,4752,1.38042460673984,1.62688324600815
"8","0.3","2","0","1.4",3.83899831368236,0.0444467827826239,4752,3.73934359199801,3.93865303536671,"nu0 - nu0.3","2","0.3","1.4",1.15207946727974,0.0628572430150339,4752,1.02885014764559,1.2753087869139
"9","0","1.25","0.3","1.4",7.55078178083781,0.0444467827826221,4752,7.45112705915346,7.65043650252216,"nu0 - nu0.3","1.25","0","1.75",6.37305434340277,0.062857243015034,4752,6.24982502376862,6.49628366303692
"10","0.3","1.25","0.3","1.4",3.9849752173114,0.0444467827826209,4752,3.88532049562706,4.08462993899575,"nu0 - nu0.3","1.5","0","1.75",4.21934153273782,0.0628572430150346,4752,4.09611221310367,4.34257085237198
"11","0","1.5","0.3","1.4",5.70213770025342,0.0444467827826213,4752,5.60248297856908,5.80179242193777,"nu0 - nu0.3","1.75","0","1.75",3.10392326260718,0.0628572430150342,4752,2.98069394297303,3.22715258224133
"12","0.3","1.5","0.3","1.4",3.60063448333871,0.0444467827826213,4752,3.50097976165437,3.70028920502306,"nu0 - nu0.3","2","0","1.75",2.35987771453666,0.0628572430150345,4752,2.23664839490251,2.48310703417081
"13","0","1.75","0.3","1.4",4.86052511339764,0.0444467827826217,4752,4.76087039171329,4.96017983508198,"nu0 - nu0.3","1.25","0.3","1.75",3.21696368245518,0.0628572430150344,4752,3.09373436282103,3.34019300208933
"14","0.3","1.75","0.3","1.4",3.35687118702364,0.0444467827826216,4752,3.2572164653393,3.45652590870799,"nu0 - nu0.3","1.5","0.3","1.75",2.04307977965871,0.0628572430150336,4752,1.91985046002456,2.16630909929286
"15","0","2","0.3","1.4",4.24737781274963,0.0444467827826229,4752,4.14772309106528,4.34703253443397,"nu0 - nu0.3","1.75","0.3","1.75",1.47800788934311,0.0628572430150342,4752,1.35477856970896,1.60123720897726
"16","0.3","2","0.3","1.4",3.09529834546988,0.0444467827826168,4752,2.99564362378555,3.19495306715422,"nu0 - nu0.3","2","0.3","1.75",1.14051793607748,0.0628572430150332,4752,1.01728861644333,1.26374725571163
"17","0","1.25","0","1.75",11.3198666143811,0.0444467827826212,4752,11.2202118926968,11.4195213360654,"nu0 - nu0.3","1.25","0","2.1",3.98260583519665,0.0628572430150347,4752,3.8593765155625,4.10583515483081
"18","0.3","1.25","0","1.75",4.94681227097833,0.0444467827826212,4752,4.84715754929398,5.04646699266267,"nu0 - nu0.3","1.5","0","2.1",3.18748676081652,0.0628572430150342,4752,3.06425744118237,3.31071608045067
