"","emmeans.vaxrate","emmeans.nu","emmeans.betap","emmeans.beta","emmeans.emmean","emmeans.SE","emmeans.df","emmeans.lower.CL","emmeans.upper.CL","contrasts.contrast","contrasts.nu","contrasts.betap","contrasts.beta","contrasts.estimate","contrasts.SE","contrasts.df","contrasts.lower.CL","contrasts.upper.CL"
"1","0","0","1.25","1.4",11.5619443544445,0.0985750588450013,4614,11.3409258109281,11.7829628979609,"vaxrate0 - vaxrate0.3","0","1.25","1.4",2.92819577564857,0.100527229720845,4614,2.73111432689198,3.12527722440515
"2","0.3","0","1.25","1.4",8.63374857879594,0.0197150117690032,4614,8.58954487009265,8.67795228749923,"vaxrate0 - vaxrate0.3","0.3","1.25","1.4",0.608305963930059,0.0278812370260691,4614,0.553645404781237,0.662966523078882
"3","0","0.3","1.25","1.4",7.7318638577877,0.0197150117690029,4614,7.68766014908441,7.77606756649099,"vaxrate0 - vaxrate0.3","0","1.5","1.4",2.25414320031814,0.0278812370260694,4614,2.19948264116932,2.30880375946696
"4","0.3","0.3","1.25","1.4",7.12355789385764,0.0197150117690029,4614,7.07935418515435,7.16776160256093,"vaxrate0 - vaxrate0.3","0.3","1.5","1.4",0.513173108055563,0.0278812370260697,4614,0.45851254890674,0.567833667204387
"5","0","0","1.5","1.4",10.0346946599305,0.019715011769003,4614,9.99049095122718,10.0788983686338,"vaxrate0 - vaxrate0.3","0","1.75","1.4",1.272048060173,0.0278812370260693,4614,1.21738750102418,1.32670861932182
"6","0.3","0","1.5","1.4",7.78055145961233,0.0197150117690029,4614,7.73634775090904,7.82475516831562,"vaxrate0 - vaxrate0.3","0.3","1.75","1.4",0.518491909434901,0.0278812370260697,4614,0.463831350286078,0.573152468583725
"7","0","0.3","1.5","1.4",7.38698283748741,0.0197150117690034,4614,7.34277912878412,7.4311865461907,"vaxrate0 - vaxrate0.3","0","2","1.4",0.954176924838318,0.0278812370260695,4614,0.899516365689495,1.00883748398714
"8","0.3","0.3","1.5","1.4",6.87380972943185,0.019715011769003,4614,6.82960602072855,6.91801343813514,"vaxrate0 - vaxrate0.3","0.3","2","1.4",0.467594595161305,0.0278812370260697,4614,0.412934036012481,0.522255154310128
"9","0","0","1.75","1.4",8.62970595085012,0.0197150117690031,4614,8.58550224214683,8.67390965955341,"vaxrate0 - vaxrate0.3","0","1.25","1.75",2.83538153523246,0.0278812370260693,4614,2.78072097608364,2.89004209438128
"10","0.3","0","1.75","1.4",7.35765789067712,0.0197150117690031,4614,7.31345418197383,7.40186159938042,"vaxrate0 - vaxrate0.3","0.3","1.25","1.75",0.55849907873529,0.027881237026069,4614,0.503838519586468,0.613159637884112
