"","emmeans.vaxrate","emmeans.nu","emmeans.betap","emmeans.beta","emmeans.emmean","emmeans.SE","emmeans.df","emmeans.lower.CL","emmeans.upper.CL","contrasts.contrast","contrasts.nu","contrasts.betap","contrasts.beta","contrasts.estimate","contrasts.SE","contrasts.df","contrasts.lower.CL","contrasts.upper.CL"
"27","0","0.3","1.75","1.75",7.18900147730615,0.0197150117690029,4614,7.14479776860286,7.23320518600944,"vaxrate0 - vaxrate0.3","0","1.5","1.4",2.25414320031814,0.0278812370260694,4614,2.19948264116932,2.30880375946696
"28","0.3","0.3","1.75","1.75",6.70456995618091,0.0197150117690035,4614,6.66036624747762,6.7487736648842,"vaxrate0 - vaxrate0.3","0.3","1.5","1.4",0.513173108055563,0.0278812370260697,4614,0.45851254890674,0.567833667204387
"29","0","0","2","1.75",7.89241202612711,0.0197150117690031,4614,7.84820831742382,7.9366157348304,"vaxrate0 - vaxrate0.3","0","1.75","1.4",1.272048060173,0.0278812370260693,4614,1.21738750102418,1.32670861932182
"30","0.3","0","2","1.75",7.06249082339049,0.0197150117690032,4614,7.0182871146872,7.10669453209378,"vaxrate0 - vaxrate0.3","0.3","1.75","1.4",0.518491909434901,0.0278812370260697,4614,0.463831350286078,0.573152468583725
"31","0","0.3","2","1.75",7.02900685300479,0.0197150117690029,4614,6.9848031443015,7.07321056170808,"vaxrate0 - vaxrate0.3","0","2","1.4",0.954176924838318,0.0278812370260695,4614,0.899516365689495,1.00883748398714
"32","0.3","0.3","2","1.75",6.55004696054436,0.0197150117690026,4614,6.50584325184107,6.59425066924765,"vaxrate0 - vaxrate0.3","0.3","2","1.4",0.467594595161305,0.0278812370260697,4614,0.412934036012481,0.522255154310128
"33","0","0","1.25","2.1",9.86680364439459,0.0197150117690032,4614,9.8225999356913,9.91100735309788,"vaxrate0 - vaxrate0.3","0","1.25","1.75",2.83538153523246,0.0278812370260693,4614,2.78072097608364,2.89004209438128
"34","0.3","0","1.25","2.1",8.25448201968562,0.0197150117690019,4614,8.21027831098233,8.29868572838891,"vaxrate0 - vaxrate0.3","0.3","1.25","1.75",0.55849907873529,0.027881237026069,4614,0.503838519586468,0.613159637884112
"35","0","0.3","1.25","2.1",7.66370368071945,0.0197150117690028,4614,7.61949997201616,7.70790738942274,"vaxrate0 - vaxrate0.3","0","1.5","1.75",1.56265007287022,0.027881237026069,4614,1.5079895137214,1.61731063201904
"36","0.3","0.3","1.25","2.1",7.09568233936526,0.0197150117690049,4614,7.05147863066197,7.13988604806856,"vaxrate0 - vaxrate0.3","0.3","1.5","1.75",0.512207509738615,0.0278812370260691,4614,0.457546950589793,0.566868068887438
"37","0","0","1.5","2.1",8.84423318053631,0.0197150117690033,4614,8.80002947183302,8.88843688923961,"vaxrate0 - vaxrate0.3","0","1.75","1.75",1.14763074557524,0.0278812370260694,4614,1.09297018642642,1.20229130472407
"38","0.3","0","1.5","2.1",7.65188655863401,0.0197150117690032,4614,7.60768284993072,7.6960902673373,"vaxrate0 - vaxrate0.3","0.3","1.75","1.75",0.484431521125237,0.0278812370260691,4614,0.429770961976415,0.539092080274059
"39","0","0.3","1.5","2.1",7.38420551914712,0.0197150117690034,4614,7.34000181044383,7.42840922785041,"vaxrate0 - vaxrate0.3","0","2","1.75",0.829921202736618,0.0278812370260698,4614,0.775260643587794,0.884581761885441
"40","0.3","0.3","1.5","2.1",6.87880806174145,0.0197150117690033,4614,6.83460435303815,6.92301177044474,"vaxrate0 - vaxrate0.3","0.3","2","1.75",0.478959892460428,0.0278812370260688,4614,0.424299333311606,0.533620451609249
"41","0","0","1.75","2.1",8.22603705610964,0.0197150117690031,4614,8.18183334740635,8.27024076481293,"vaxrate0 - vaxrate0.3","0","1.25","2.1",1.61232162470897,0.0278812370260689,4614,1.55766106556015,1.6669821838578
"42","0.3","0","1.75","2.1",7.27944934546508,0.0197150117690033,4614,7.23524563676179,7.32365305416838,"vaxrate0 - vaxrate0.3","0.3","1.25","2.1",0.568021341354185,0.0278812370260699,4614,0.513360782205361,0.622681900503009
"43","0","0.3","1.75","2.1",7.16436037813603,0.0197150117690032,4614,7.12015666943274,7.20856408683932,"vaxrate0 - vaxrate0.3","0","1.5","2.1",1.1923466219023,0.0278812370260692,4614,1.13768606275348,1.24700718105112
"44","0.3","0.3","1.75","2.1",6.69079247382648,0.0197150117690032,4614,6.64658876512318,6.73499618252977,"vaxrate0 - vaxrate0.3","0.3","1.5","2.1",0.505397457405676,0.0278812370260701,4614,0.450736898256852,0.560058016554501
"45","0","0","2","2.1",7.82964951350566,0.019715011769003,4614,7.78544580480237,7.87385322220895,"vaxrate0 - vaxrate0.3","0","1.75","2.1",0.946587710644554,0.0278812370260694,4614,0.891927151495731,1.00124826979338
"46","0.3","0","2","2.1",7.04277313180484,0.0205543206357098,4614,6.99668757970776,7.08885868390193,"vaxrate0 - vaxrate0.3","0.3","1.75","2.1",0.473567904309553,0.02788123702607,4614,0.418907345160729,0.528228463458377
"47","0","0.3","2","2.1",7.0308506314759,0.0204435148654983,4614,6.98501352082265,7.07668774212915,"vaxrate0 - vaxrate0.3","0","2","2.1",0.786876381700814,0.028480902124889,4614,0.731040192160382,0.842712571241246
"48","0.3","0.3","2","2.1",6.57835823062172,0.0230746759442938,4614,6.52662170285215,6.63009475839129,"vaxrate0 - vaxrate0.3","0.3","2","2.1",0.452492400854174,0.0308282008879869,4614,0.392054383110772,0.512930418597577
