"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"63",3,"1.4","1.75","0.7","0.7","0","0.01","0.01","0","0",7.60563208945288
"64",4,"1.4","1.75","0.7","0.7","0","0.01","0.01","0","0",8.04294394342313
"65",5,"1.4","1.75","0.7","0.7","0","0.01","0.01","0","0",8.15653366417323
"66",6,"1.4","1.75","0.7","0.7","0","0.01","0.01","0","0",7.58928447056796
"67",7,"1.4","1.75","0.7","0.7","0","0.01","0.01","0","0",7.8382527658854
"68",8,"1.4","1.75","0.7","0.7","0","0.01","0.01","0","0",8.39411251468032
"69",9,"1.4","1.75","0.7","0.7","0","0.01","0.01","0","0",7.85518951941889
"70",10,"1.4","1.75","0.7","0.7","0","0.01","0.01","0","0",8.12857470088358
"71",1,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",7.6582157486898
"72",2,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",7.46526220092116
"73",3,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",7.02292923844041
"74",4,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",6.59482237805951
"75",5,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",7.44663097761119
"76",6,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",6.94126547175717
"77",7,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",7.47469939296357
"78",8,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",7.40305934425673
"79",9,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",6.97139453241669
"80",10,"1.75","1.75","0.7","0.7","0","0.01","0.01","0","0",6.85289933822654
"81",1,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.64278265577446
"82",2,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.71312891207365
"83",3,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.64679280106654
"84",4,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.82517824279755
"85",5,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.72983781166139
"86",6,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.60386218893528
"87",7,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.72249896878006
"88",8,"2.1","1.75","0.7","0.7","0","0.01","0.01","0","0",6.6340345122259
