"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"63",63,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.3444352753269
"64",64,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",23.0119766522119
"65",65,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.2625566298161
"66",66,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.8922145935686
"67",67,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.9552047377641
"68",68,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.3131884098957
"69",69,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.665406056462
"70",70,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",16.3945016668092
"71",71,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",17.4182266283352
"72",72,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.0444975437612
"73",73,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.0299914043987
"74",74,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.2547254568284
"75",75,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",17.3673415529769
"76",76,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.600201296068
"77",77,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.8748360787944
"78",78,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.4204891227303
"79",79,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",20.0648920112927
"80",80,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",20.8302621658633
"81",81,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.3368921742413
"82",82,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.0509095641876
"83",83,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.6455010837897
"84",84,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.961908333297
"85",85,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.4223171861395
"86",86,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",18.1100394347654
"87",87,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.9198593533192
"88",88,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.4058596381382
"89",89,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.2757429116461
"90",90,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.472606291058
"91",91,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",12.7084197832028
"92",92,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",13.8092234801071
"93",93,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.6589749367763
"94",94,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.2017199947305
"95",95,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.4358455610711
"96",96,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.1261063786595
"97",97,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",14.5458692805638
"98",98,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",22.6170647123557
"99",99,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",15.4909233800136
"100",100,"1.4","1.25","0.7","0.7","0","0.01","0.01","0","0",20.9283737063386
"101",1,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8746120383187
"102",2,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.6756951632256
"103",3,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.6932452234391
"104",4,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2472589761057
"105",5,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.6791347902053
"106",6,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8094795392241
"107",7,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2576300489575
"108",8,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2634120792515
"109",9,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3217035456909
"110",10,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.062763968224
"111",11,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3239672923429
"112",12,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2139321650093
"113",13,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1739636371505
"114",14,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8776678461661
"115",15,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.8136701349541
"116",16,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3239491521529
"117",17,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8685685566622
"118",18,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9785191079882
"119",19,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.7058615906131
"120",20,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3791504494875
"121",21,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.4193207294488
"122",22,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.3278015162725
"123",23,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.5681903167078
"124",24,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8669932399406
"125",25,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2657584080796
"126",26,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1235552440234
"127",27,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7563594245815
"128",28,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.7837068803384
"129",29,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.9837312997812
"130",30,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",13.0941306669329
"131",31,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.963925497084
"132",32,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5203534296206
"133",33,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.112026023596
"134",34,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.9489340511483
"135",35,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.768527380173
"136",36,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.8619017936882
"137",37,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2882322175716
"138",38,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1925724106045
"139",39,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.1259853238568
"140",40,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.2224814328097
"141",41,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",12.0559750051795
"142",42,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.6127790445644
"143",43,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",10.4302440154494
"144",44,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.7777715712498
"145",45,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.5334907269903
"146",46,"1.75","1.25","0.7","0.7","0","0.01","0.01","0","0",11.0605333550724
