"","emmeans.nu","emmeans.betap","emmeans.vaxrate","emmeans.beta","emmeans.emmean","emmeans.SE","emmeans.df","emmeans.lower.CL","emmeans.upper.CL","contrasts.contrast","contrasts.betap","contrasts.vaxrate","contrasts.beta","contrasts.estimate","contrasts.SE","contrasts.df","contrasts.lower.CL","contrasts.upper.CL"
"66","0.5","1.5","0.25","1.75",3.19989759131966,0.0862153473467575,1296,2.99323146337724,3.40656371926207,"nu0.25 - nu0.5","1.5","0.25","1.75",0.700274237990227,0.121926913502492,1296,0.408004196970924,0.992544279009531
"67","0","1.75","0.25","1.75",5.19271149572924,0.0862153473467583,1296,4.98604536778682,5.39937762367166,"nu0 - nu0.25","1.75","0.25","1.75",1.62716861868682,0.121926913502492,1296,1.33489857766752,1.91943865970613
"68","0.25","1.75","0.25","1.75",3.56554287704242,0.0862153473467577,1296,3.3588767491,3.77220900498484,"nu0 - nu0.5","1.75","0.25","1.75",2.18466074603543,0.121926913502492,1296,1.89239070501612,2.47693078705473
"69","0.5","1.75","0.25","1.75",3.00805074969381,0.0862153473467579,1296,2.80138462175139,3.21471687763623,"nu0.25 - nu0.5","1.75","0.25","1.75",0.557492127348607,0.121926913502492,1296,0.265222086329303,0.84976216836791
"70","0","2","0.25","1.75",4.5158201489629,0.0862153473467578,1296,4.30915402102048,4.72248627690533,"nu0 - nu0.25","2","0.25","1.75",1.21163893928127,0.121926913502492,1296,0.919368898261962,1.50390898030057
"71","0.25","2","0.25","1.75",3.30418120968164,0.0862153473467576,1296,3.09751508173922,3.51084733762406,"nu0 - nu0.5","2","0.25","1.75",1.69479046539027,0.121926913502492,1296,1.40252042437097,1.98706050640958
"72","0.5","2","0.25","1.75",2.82102968357263,0.0862153473467577,1296,2.61436355563021,3.02769581151505,"nu0.25 - nu0.5","2","0.25","1.75",0.483151526109006,0.121926913502492,1296,0.190881485089703,0.77542156712831
"73","0","1.25","0.5","1.75",4.869676770893,0.0862153473467578,1296,4.66301064295058,5.07634289883542,"nu0 - nu0.25","1.25","0.5","1.75",1.37331132894415,0.121926913502492,1296,1.08104128792485,1.66558136996346
"74","0.25","1.25","0.5","1.75",3.49636544194885,0.0862153473467585,1296,3.28969931400643,3.70303156989127,"nu0 - nu0.5","1.25","0.5","1.75",2.03545952007131,0.121926913502492,1296,1.743189479052,2.32772956109061
"75","0.5","1.25","0.5","1.75",2.8342172508217,0.0862153473467576,1296,2.62755112287928,3.04088337876412,"nu0.25 - nu0.5","1.25","0.5","1.75",0.662148191127152,0.121926913502492,1296,0.369878150107848,0.954418232146456
"76","0","1.5","0.5","1.75",4.06593547024219,0.0862153473467577,1296,3.85926934229977,4.2726015981846,"nu0 - nu0.25","1.5","0.5","1.75",0.859167882073883,0.121926913502492,1296,0.566897841054579,1.15143792309319
"77","0.25","1.5","0.5","1.75",3.2067675881683,0.0862153473467579,1296,3.00010146022588,3.41343371611072,"nu0 - nu0.5","1.5","0.5","1.75",1.40452557128231,0.121926913502492,1296,1.11225553026301,1.69679561230162
"78","0.5","1.5","0.5","1.75",2.66140989895987,0.0862153473467576,1296,2.45474377101745,2.86807602690229,"nu0.25 - nu0.5","1.5","0.5","1.75",0.545357689208429,0.121926913502492,1296,0.253087648189126,0.837627730227733
"79","0","1.75","0.5","1.75",3.51597827509,0.0862153473467577,1296,3.30931214714758,3.72264440303242,"nu0 - nu0.25","1.75","0.5","1.75",0.660305783907132,0.121926913502492,1296,0.368035742887828,0.952575824926436
"80","0.25","1.75","0.5","1.75",2.85567249118287,0.0862153473467576,1296,2.64900636324045,3.06233861912529,"nu0 - nu0.5","1.75","0.5","1.75",1.05326987590635,0.121926913502492,1296,0.760999834887047,1.34553991692565
"81","0.5","1.75","0.5","1.75",2.46270839918365,0.0862153473467578,1296,2.25604227124123,2.66937452712607,"nu0.25 - nu0.5","1.75","0.5","1.75",0.392964091999219,0.121926913502492,1296,0.100694050979916,0.685234133018522
"82","0","2","0.5","1.75",3.22063589577221,0.0862153473467576,1296,3.01396976782979,3.42730202371463,"nu0 - nu0.25","2","0.5","1.75",0.493846320636531,0.121926913502492,1296,0.201576279617227,0.786116361655836
"83","0.25","2","0.5","1.75",2.72678957513568,0.0862153473467579,1296,2.52012344719326,2.9334557030781,"nu0 - nu0.5","2","0.5","1.75",0.845305548547107,0.121926913502492,1296,0.553035507527804,1.13757558956641
"84","0.5","2","0.5","1.75",2.3753303472251,0.0862153473467576,1296,2.16866421928268,2.58199647516752,"nu0.25 - nu0.5","2","0.5","1.75",0.351459227910576,0.121926913502492,1296,0.0591891868912719,0.643729268929879
"85","0","1.25","0.75","1.75",2.68588104839519,0.0862153473467581,1296,2.47921492045276,2.89254717633761,"nu0 - nu0.25","1.25","0.75","1.75",0.320121541682656,0.121926913502492,1296,0.0278515006633521,0.61239158270196
"86","0.25","1.25","0.75","1.75",2.36575950671253,0.0862153473467577,1296,2.15909337877011,2.57242563465495,"nu0 - nu0.5","1.25","0.75","1.75",0.52496988747734,0.121926913502492,1296,0.232699846458035,0.817239928496645
"87","0.5","1.25","0.75","1.75",2.16091116091785,0.0862153473467577,1296,1.95424503297543,2.36757728886027,"nu0.25 - nu0.5","1.25","0.75","1.75",0.204848345794683,0.121926913502492,1296,-0.0874216952246198,0.497118386813987
"88","0","1.5","0.75","1.75",2.44647621555695,0.0862153473467579,1296,2.23981008761453,2.65314234349937,"nu0 - nu0.25","1.5","0.75","1.75",0.305483318565806,0.121926913502492,1296,0.0132132775465024,0.59775335958511
"89","0.25","1.5","0.75","1.75",2.14099289699115,0.0862153473467578,1296,1.93432676904873,2.34765902493357,"nu0 - nu0.5","1.5","0.75","1.75",0.427668378369123,0.121926913502492,1296,0.135398337349818,0.719938419388427
"90","0.5","1.5","0.75","1.75",2.01880783718783,0.0862153473467577,1296,1.81214170924541,2.22547396513025,"nu0.25 - nu0.5","1.5","0.75","1.75",0.122185059803316,0.121926913502492,1296,-0.170084981215987,0.41445510082262
"91","0","1.75","0.75","1.75",2.23962150450465,0.0862153473467579,1296,2.03295537656223,2.44628763244707,"nu0 - nu0.25","1.75","0.75","1.75",0.221404687915506,0.121926913502492,1296,-0.0708653531037983,0.51367472893481
"92","0.25","1.75","0.75","1.75",2.01821681658914,0.0862153473467575,1296,1.81155068864672,2.22488294453156,"nu0 - nu0.5","1.75","0.75","1.75",0.40732289640223,0.121926913502492,1296,0.115052855382926,0.699592937421535
"93","0.5","1.75","0.75","1.75",1.83229860810242,0.0862153473467577,1296,1.62563248016,2.03896473604484,"nu0.25 - nu0.5","1.75","0.75","1.75",0.185918208486725,0.121926913502492,1296,-0.106351832532579,0.478188249506028
"94","0","2","0.75","1.75",2.11342005966343,0.0862153473467581,1296,1.90675393172101,2.32008618760585,"nu0 - nu0.25","2","0.75","1.75",0.259884984792264,0.121926913502492,1296,-0.0323850562270397,0.552155025811568
"95","0.25","2","0.75","1.75",1.85353507487117,0.0862153473467574,1296,1.64686894692875,2.06020120281359,"nu0 - nu0.5","2","0.75","1.75",0.336284152360423,0.121926913502492,1296,0.044014111341118,0.628554193379727
"96","0.5","2","0.75","1.75",1.77713590730301,0.086215347346758,1296,1.57046977936059,1.98380203524543,"nu0.25 - nu0.5","2","0.75","1.75",0.0763991675681587,0.121926913502492,1296,-0.215870873451144,0.368669208587461
"97","0","1.25","0","2.1",8.89941800124373,0.0862153473467574,1296,8.69275187330131,9.10608412918615,"nu0 - nu0.25","1.25","0","2.1",3.56364257781216,0.121926913502492,1296,3.27137253679286,3.85591261883146
"98","0.25","1.25","0","2.1",5.33577542343157,0.0862153473467578,1296,5.12910929548915,5.54244155137399,"nu0 - nu0.5","1.25","0","2.1",4.83135592305077,0.121926913502492,1296,4.53908588203146,5.12362596407007
"99","0.5","1.25","0","2.1",4.06806207819296,0.0862153473467583,1296,3.86139595025054,4.27472820613539,"nu0.25 - nu0.5","1.25","0","2.1",1.26771334523861,0.121926913502492,1296,0.975443304219304,1.55998338625791
"100","0","1.5","0","2.1",7.5971434220992,0.0862153473467578,1296,7.39047729415678,7.80380955004162,"nu0 - nu0.25","1.5","0","2.1",2.84100141229774,0.121926913502492,1296,2.54873137127844,3.13327145331704
"101","0.25","1.5","0","2.1",4.75614200980146,0.0862153473467577,1296,4.54947588185904,4.96280813774388,"nu0 - nu0.5","1.5","0","2.1",3.90103207760399,0.121926913502492,1296,3.60876203658469,4.1933021186233
"102","0.5","1.5","0","2.1",3.69611134449521,0.0862153473467577,1296,3.48944521655279,3.90277747243763,"nu0.25 - nu0.5","1.5","0","2.1",1.06003066530625,0.121926913502492,1296,0.76776062428695,1.35230070632556
"103","0","1.75","0","2.1",6.68279215425703,0.0862153473467574,1296,6.47612602631461,6.88945828219945,"nu0 - nu0.25","1.75","0","2.1",2.40692631386985,0.121926913502492,1296,2.11465627285055,2.69919635488915
"104","0.25","1.75","0","2.1",4.27586584038718,0.0862153473467578,1296,4.06919971244476,4.4825319683296,"nu0 - nu0.5","1.75","0","2.1",3.13179751326171,0.121926913502491,1296,2.83952747224241,3.42406755428101
