"","betap","nu","vaxrate","beta","emmean","SE","df","lower.CL","upper.CL"
"21","1.25","0.5","0.25","1.4",3.59536617885523,0.0862153473467579,1296,3.37972455149617,3.81100780621429
"22","1.5","0.5","0.25","1.4",3.25056205633026,0.0862153473467579,1296,3.0349204289712,3.46620368368932
"23","1.75","0.5","0.25","1.4",2.99743807044996,0.0862153473467578,1296,2.7817964430909,3.21307969780902
"24","2","0.5","0.25","1.4",2.877202050555,0.0862153473467572,1296,2.66156042319594,3.09284367791406
"25","1.25","0","0.5","1.4",4.88565738750081,0.0862153473467576,1296,4.67001576014175,5.10129901485987
"26","1.5","0","0.5","1.4",4.11266447515237,0.0862153473467578,1296,3.89702284779331,4.32830610251143
"27","1.75","0","0.5","1.4",3.53508622682974,0.0862153473467573,1296,3.31944459947068,3.7507278541888
"28","2","0","0.5","1.4",3.19944397530892,0.0862153473467574,1296,2.98380234794986,3.41508560266798
"29","1.25","0.25","0.5","1.4",3.36521276279107,0.0862153473467573,1296,3.14957113543201,3.58085439015013
"30","1.5","0.25","0.5","1.4",3.10784187641036,0.0862153473467578,1296,2.8922002490513,3.32348350376942
"31","1.75","0.25","0.5","1.4",2.79361073150214,0.0862153473467578,1296,2.57796910414308,3.0092523588612
"32","2","0.25","0.5","1.4",2.70066597339283,0.0862153473467579,1296,2.48502434603377,2.91630760075189
"33","1.25","0.5","0.5","1.4",2.81361459446741,0.0862153473467578,1296,2.59797296710835,3.02925622182647
"34","1.5","0.5","0.5","1.4",2.58835742185792,0.0862153473467577,1296,2.37271579449886,2.80399904921698
"35","1.75","0.5","0.5","1.4",2.47777737118909,0.0862153473467577,1296,2.26213574383003,2.69341899854815
"36","2","0.5","0.5","1.4",2.35412307600599,0.0862153473467575,1296,2.13848144864693,2.56976470336505
"37","1.25","0","0.75","1.4",2.69252581020665,0.0862153473467571,1296,2.47688418284759,2.90816743756571
"38","1.5","0","0.75","1.4",2.53569260998124,0.0862153473467577,1296,2.32005098262217,2.7513342373403
"39","1.75","0","0.75","1.4",2.25311170369549,0.0862153473467579,1296,2.03747007633643,2.46875333105455
"40","2","0","0.75","1.4",2.04293955268326,0.0862153473467597,1296,1.8272979253242,2.25858118004233
"41","1.25","0.25","0.75","1.4",2.36989520401561,0.0862153473467577,1296,2.15425357665655,2.58553683137467
"42","1.5","0.25","0.75","1.4",2.1878900688056,0.0862153473467574,1296,1.97224844144654,2.40353169616466
"43","1.75","0.25","0.75","1.4",2.00886334737609,0.0862153473467577,1296,1.79322172001703,2.22450497473516
"44","2","0.25","0.75","1.4",1.92922302342746,0.0862153473467575,1296,1.7135813960684,2.14486465078652
