"","nu","vaxrate","beta","betap","contrast","emmean","SE","df","lower.CL","upper.CL"
"29","0.25","0.5","1.4","1.25",".",3.36521276279107,0.0862153473467573,1296,3.04348185965253,3.68694366592961
"30","0.25","0.5","1.4","1.5",".",3.10784187641036,0.0862153473467578,1296,2.78611097327182,3.4295727795489
"31","0.25","0.5","1.4","1.75",".",2.79361073150214,0.0862153473467578,1296,2.4718798283636,3.11534163464068
"32","0.25","0.5","1.4","2",".",2.70066597339283,0.0862153473467579,1296,2.37893507025429,3.02239687653137
"33","0.5","0.5","1.4","1.25",".",2.81361459446741,0.0862153473467578,1296,2.49188369132887,3.13534549760595
"34","0.5","0.5","1.4","1.5",".",2.58835742185792,0.0862153473467577,1296,2.26662651871938,2.91008832499646
"35","0.5","0.5","1.4","1.75",".",2.47777737118909,0.0862153473467577,1296,2.15604646805055,2.79950827432764
"36","0.5","0.5","1.4","2",".",2.35412307600599,0.0862153473467575,1296,2.03239217286745,2.67585397914453
"37","0","0.75","1.4","1.25",".",2.69252581020665,0.0862153473467571,1296,2.37079490706811,3.01425671334519
"38","0","0.75","1.4","1.5",".",2.53569260998124,0.0862153473467577,1296,2.21396170684269,2.85742351311978
"39","0","0.75","1.4","1.75",".",2.25311170369549,0.0862153473467579,1296,1.93138080055695,2.57484260683403
"40","0","0.75","1.4","2",".",2.04293955268326,0.0862153473467597,1296,1.72120864954472,2.36467045582181
"41","0.25","0.75","1.4","1.25",".",2.36989520401561,0.0862153473467577,1296,2.04816430087707,2.69162610715415
"42","0.25","0.75","1.4","1.5",".",2.1878900688056,0.0862153473467574,1296,1.86615916566706,2.50962097194414
"43","0.25","0.75","1.4","1.75",".",2.00886334737609,0.0862153473467577,1296,1.68713244423755,2.33059425051464
"44","0.25","0.75","1.4","2",".",1.92922302342746,0.0862153473467575,1296,1.60749212028892,2.250953926566
"45","0.5","0.75","1.4","1.25",".",2.07624890324375,0.0862153473467584,1296,1.75451800010521,2.39797980638229
"46","0.5","0.75","1.4","1.5",".",1.95963673950665,0.0862153473467574,1296,1.63790583636811,2.28136764264519
"47","0.5","0.75","1.4","1.75",".",1.90732880798553,0.0862153473467576,1296,1.58559790484699,2.22905971112407
"48","0.5","0.75","1.4","2",".",1.77664292098826,0.0862153473467556,1296,1.45491201784973,2.09837382412679
"49","0","0","1.75","1.25",".",11.3011399008678,0.086215347346757,1296,10.9794089977292,11.6228708040063
"50","0","0","1.75","1.5",".",8.75123677767088,0.0862153473467569,1296,8.42950587453235,9.07296768080942
"51","0","0","1.75","1.75",".",7.18311786233429,0.0862153473467571,1296,6.86138695919575,7.50484876547283
"52","0","0","1.75","2",".",6.19341350864079,0.0862153473467571,1296,5.87168260550225,6.51514441177933
"53","0.25","0","1.75","1.25",".",5.31119014679508,0.0862153473467578,1296,4.98945924365654,5.63292104993362
"54","0.25","0","1.75","1.5",".",4.68123057207385,0.0862153473467577,1296,4.35949966893531,5.00296147521239
"55","0.25","0","1.75","1.75",".",4.36174354080563,0.086215347346757,1296,4.04001263766709,4.68347444394417
"56","0.25","0","1.75","2",".",4.02156418370813,0.0862153473467575,1296,3.69983328056959,4.34329508684667
"57","0.5","0","1.75","1.25",".",3.95633900363429,0.0862153473467574,1296,3.63460810049575,4.27806990677283
"58","0.5","0","1.75","1.5",".",3.65479977160143,0.0862153473467576,1296,3.33306886846289,3.97653067473997
"59","0.5","0","1.75","1.75",".",3.48425999864657,0.0862153473467576,1296,3.16252909550803,3.80599090178511
"60","0.5","0","1.75","2",".",3.2738701441352,0.0862153473467576,1296,2.95213924099666,3.59560104727374
"61","0","0.25","1.75","1.25",".",7.67950184785244,0.0862153473467577,1296,7.3577709447139,8.00123275099098
"62","0","0.25","1.75","1.5",".",6.09474391264618,0.0862153473467575,1296,5.77301300950764,6.41647481578472
"63","0","0.25","1.75","1.75",".",5.19271149572924,0.0862153473467583,1296,4.8709805925907,5.51444239886778
"64","0","0.25","1.75","2",".",4.5158201489629,0.0862153473467578,1296,4.19408924582436,4.83755105210145
"65","0.25","0.25","1.75","1.25",".",4.50581455623044,0.0862153473467574,1296,4.1840836530919,4.82754545936898
"66","0.25","0.25","1.75","1.5",".",3.90017182930988,0.0862153473467574,1296,3.57844092617134,4.22190273244842
"67","0.25","0.25","1.75","1.75",".",3.56554287704242,0.0862153473467577,1296,3.24381197390388,3.88727378018096
"68","0.25","0.25","1.75","2",".",3.30418120968164,0.0862153473467576,1296,2.9824503065431,3.62591211282018
"69","0.5","0.25","1.75","1.25",".",3.56290498648304,0.0862153473467578,1296,3.2411740833445,3.88463588962158
"70","0.5","0.25","1.75","1.5",".",3.19989759131966,0.0862153473467575,1296,2.87816668818112,3.52162849445819
"71","0.5","0.25","1.75","1.75",".",3.00805074969381,0.0862153473467579,1296,2.68631984655527,3.32978165283236
"72","0.5","0.25","1.75","2",".",2.82102968357263,0.0862153473467577,1296,2.49929878043409,3.14276058671117
"73","0","0.5","1.75","1.25",".",4.869676770893,0.0862153473467578,1296,4.54794586775446,5.19140767403154
"74","0","0.5","1.75","1.5",".",4.06593547024219,0.0862153473467577,1296,3.74420456710364,4.38766637338073
"75","0","0.5","1.75","1.75",".",3.51597827509,0.0862153473467577,1296,3.19424737195146,3.83770917822854
"76","0","0.5","1.75","2",".",3.22063589577221,0.0862153473467576,1296,2.89890499263367,3.54236679891075
"77","0.25","0.5","1.75","1.25",".",3.49636544194885,0.0862153473467585,1296,3.17463453881031,3.81809634508739
"78","0.25","0.5","1.75","1.5",".",3.2067675881683,0.0862153473467579,1296,2.88503668502976,3.52849849130684
"79","0.25","0.5","1.75","1.75",".",2.85567249118287,0.0862153473467576,1296,2.53394158804433,3.17740339432141
"80","0.25","0.5","1.75","2",".",2.72678957513568,0.0862153473467579,1296,2.40505867199714,3.04852047827422
"81","0.5","0.5","1.75","1.25",".",2.8342172508217,0.0862153473467576,1296,2.51248634768316,3.15594815396024
"82","0.5","0.5","1.75","1.5",".",2.66140989895987,0.0862153473467576,1296,2.33967899582133,2.98314080209841
"83","0.5","0.5","1.75","1.75",".",2.46270839918365,0.0862153473467578,1296,2.14097749604511,2.78443930232219
"84","0.5","0.5","1.75","2",".",2.3753303472251,0.0862153473467576,1296,2.05359944408656,2.69706125036364
"85","0","0.75","1.75","1.25",".",2.68588104839519,0.0862153473467581,1296,2.36415014525664,3.00761195153373
"86","0","0.75","1.75","1.5",".",2.44647621555695,0.0862153473467579,1296,2.12474531241841,2.7682071186955
"87","0","0.75","1.75","1.75",".",2.23962150450465,0.0862153473467579,1296,1.91789060136611,2.56135240764319
"88","0","0.75","1.75","2",".",2.11342005966343,0.0862153473467581,1296,1.79168915652489,2.43515096280197
"89","0.25","0.75","1.75","1.25",".",2.36575950671253,0.0862153473467577,1296,2.04402860357399,2.68749040985107
"90","0.25","0.75","1.75","1.5",".",2.14099289699115,0.0862153473467578,1296,1.81926199385261,2.46272380012969
"91","0.25","0.75","1.75","1.75",".",2.01821681658914,0.0862153473467575,1296,1.6964859134506,2.33994771972768
"92","0.25","0.75","1.75","2",".",1.85353507487117,0.0862153473467574,1296,1.53180417173263,2.17526597800971
"93","0.5","0.75","1.75","1.25",".",2.16091116091785,0.0862153473467577,1296,1.83918025777931,2.48264206405639
"94","0.5","0.75","1.75","1.5",".",2.01880783718783,0.0862153473467577,1296,1.69707693404929,2.34053874032637
"95","0.5","0.75","1.75","1.75",".",1.83229860810242,0.0862153473467577,1296,1.51056770496388,2.15402951124096
"96","0.5","0.75","1.75","2",".",1.77713590730301,0.086215347346758,1296,1.45540500416447,2.09886681044155
"97","0","0","2.1","1.25",".",8.89941800124373,0.0862153473467574,1296,8.57768709810519,9.22114890438227
"98","0","0","2.1","1.5",".",7.5971434220992,0.0862153473467578,1296,7.27541251896066,7.91887432523774
"99","0","0","2.1","1.75",".",6.68279215425703,0.0862153473467574,1296,6.36106125111849,7.00452305739557
"100","0","0","2.1","2",".",5.89271012394272,0.0862153473467578,1296,5.57097922080418,6.21444102708127
"101","0.25","0","2.1","1.25",".",5.33577542343157,0.0862153473467578,1296,5.01404452029303,5.65750632657011
"102","0.25","0","2.1","1.5",".",4.75614200980146,0.0862153473467577,1296,4.43441110666292,5.07787291294
"103","0.25","0","2.1","1.75",".",4.27586584038718,0.0862153473467578,1296,3.95413493724864,4.59759674352572
"104","0.25","0","2.1","2",".",3.95309803033633,0.0862153473467587,1296,3.63136712719778,4.27482893347487
"105","0.5","0","2.1","1.25",".",4.06806207819296,0.0862153473467583,1296,3.74633117505442,4.38979298133151
"106","0.5","0","2.1","1.5",".",3.69611134449521,0.0862153473467577,1296,3.37438044135667,4.01784224763375
"107","0.5","0","2.1","1.75",".",3.55099464099532,0.0862153473467573,1296,3.22926373785678,3.87272554413386
"108","0.5","0","2.1","2",".",3.29016750852779,0.0862153473467577,1296,2.96843660538925,3.61189841166633
"109","0","0.25","2.1","1.25",".",7.36681295633958,0.0862153473467573,1296,7.04508205320104,7.68854385947812
"110","0","0.25","2.1","1.5",".",5.91954244599946,0.0862153473467573,1296,5.59781154286092,6.24127334913799
"111","0","0.25","2.1","1.75",".",4.99183586380502,0.086215347346758,1296,4.67010496066648,5.31356676694356
"112","0","0.25","2.1","2",".",4.40285169172408,0.0862153473467567,1296,4.08112078858554,4.72458259486261
"113","0.25","0.25","2.1","1.25",".",4.39560341436264,0.0862153473467575,1296,4.0738725112241,4.71733431750118
"114","0.25","0.25","2.1","1.5",".",3.94651414514053,0.0862153473467577,1296,3.62478324200199,4.26824504827907
"115","0.25","0.25","2.1","1.75",".",3.59402036141333,0.0862153473467577,1296,3.27228945827479,3.91575126455187
"116","0.25","0.25","2.1","2",".",3.2881434196833,0.0862153473467573,1296,2.96641251654476,3.60987432282184
"117","0.5","0.25","2.1","1.25",".",3.51842473757671,0.0862153473467585,1296,3.19669383443817,3.84015564071526
"118","0.5","0.25","2.1","1.5",".",3.13565375849765,0.0862153473467577,1296,2.81392285535911,3.45738466163619
"119","0.5","0.25","2.1","1.75",".",3.04939776938137,0.0862153473467577,1296,2.72766686624283,3.37112867251991
"120","0.5","0.25","2.1","2",".",2.85437725362391,0.0862153473467571,1296,2.53264635048537,3.17610815676245
"121","0","0.5","2.1","1.25",".",4.70326588120285,0.0862153473467576,1296,4.38153497806431,5.02499678434139
"122","0","0.5","2.1","1.5",".",4.01003957177306,0.0862153473467575,1296,3.68830866863452,4.3317704749116
"123","0","0.5","2.1","1.75",".",3.4926822158948,0.0862153473467578,1296,3.17095131275626,3.81441311903335
"124","0","0.5","2.1","2",".",3.18460207586836,0.0862153473467571,1296,2.86287117272982,3.5063329790069
"125","0.25","0.5","2.1","1.25",".",3.42654894179539,0.0862153473467577,1296,3.10481803865685,3.74827984493393
"126","0.25","0.5","2.1","1.5",".",3.04852644097832,0.0862153473467577,1296,2.72679553783978,3.37025734411686
"127","0.25","0.5","2.1","1.75",".",2.82652406143703,0.0862153473467578,1296,2.50479315829848,3.14825496457557
"128","0.25","0.5","2.1","2",".",2.66093887205294,0.0862153473467576,1296,2.3392079689144,2.98266977519148
"129","0.5","0.5","2.1","1.25",".",2.83710636362515,0.0862153473467578,1296,2.51537546048661,3.15883726676369
"130","0.5","0.5","2.1","1.5",".",2.60238385096709,0.0862153473467572,1296,2.28065294782855,2.92411475410563
"131","0.5","0.5","2.1","1.75",".",2.44767703513494,0.0862153473467577,1296,2.1259461319964,2.76940793827348
"132","0.5","0.5","2.1","2",".",2.38707896213891,0.0862153473467564,1296,2.06534805900038,2.70880986527745
"133","0","0.75","2.1","1.25",".",2.68511794821071,0.0862153473467571,1296,2.36338704507217,3.00684885134925
"134","0","0.75","2.1","1.5",".",2.44288335555165,0.0862153473467577,1296,2.12115245241311,2.76461425869019
"135","0","0.75","2.1","1.75",".",2.28843092597051,0.0862153473467572,1296,1.96670002283197,2.61016182910905
"136","0","0.75","2.1","2",".",2.14071754729694,0.0862153473467575,1296,1.8189866441584,2.46244845043548
"137","0.25","0.75","2.1","1.25",".",2.32707983327971,0.0862153473467582,1296,2.00534893014117,2.64881073641826
"138","0.25","0.75","2.1","1.5",".",2.18159985396589,0.0862153473467574,1296,1.85986895082735,2.50333075710443
"139","0.25","0.75","2.1","1.75",".",2.03962892595994,0.0862153473467577,1296,1.7178980228214,2.36135982909848
"140","0.25","0.75","2.1","2",".",2.28101587260722,0.086215347346758,1296,1.95928496946868,2.60274677574577
"141","0.5","0.75","2.1","1.25",".",2.13715214311908,0.0862153473467561,1296,1.81542123998054,2.45888304625761
"142","0.5","0.75","2.1","1.5",".",1.94825094402861,0.0862153473467574,1296,1.62652004089007,2.26998184716715
"143","0.5","0.75","2.1","1.75",".",1.88634918016443,0.0862153473467566,1296,1.56461827702589,2.20808008330296
"144","0.5","0.75","2.1","2",".",1.75669161670396,0.0862153473467534,1296,1.43496071356544,2.07842251984248
"145","0","0","1.4",".","linear",-27.3430487632654,0.385566754742219,1296,-28.7818731030257,-25.904224423505
"146","0","0","1.4",".","quadratic",2.48763410208128,0.172430694693515,1296,1.8441722958042,3.13109590835836
"147","0","0","1.4",".","cubic",-0.903006535988378,0.385566754742214,1296,-2.34183087574874,0.535817803771979
"148","0.25","0","1.4",".","linear",-4.91132355251814,0.385566754742212,1296,-6.35014789227849,-3.47249921275779
"149","0.25","0","1.4",".","quadratic",0.505670077117801,0.172430694693515,1296,-0.13779172915928,1.14913188339488
"150","0.25","0","1.4",".","cubic",-0.23976435442783,0.385566754742212,1296,-1.67858869418818,1.19905998533252
"151","0.5","0","1.4",".","linear",-2.54311091786314,0.385566754742212,1296,-3.98193525762349,-1.10428657810279
"152","0.5","0","1.4",".","quadratic",-0.0793172620616375,0.172430694693515,1296,-0.722779068338717,0.564144544215442
"153","0.5","0","1.4",".","cubic",-0.248952945536765,0.385566754742212,1296,-1.68777728529712,1.18987139422359
"154","0","0.25","1.4",".","linear",-11.903267801852,0.385566754742211,1296,-13.3420921416124,-10.4644434620917
"155","0","0.25","1.4",".","quadratic",1.36681179220729,0.172430694693515,1296,0.723349985930207,2.01027359848437
"156","0","0.25","1.4",".","cubic",-0.51352436338282,0.385566754742212,1296,-1.95234870314317,0.925299976377532
"157","0.25","0.25","1.4",".","linear",-3.9359618434184,0.385566754742213,1296,-5.37478618317876,-2.49713750365805
"158","0.25","0.25","1.4",".","quadratic",0.0721875973237461,0.172430694693516,1296,-0.571274208953336,0.715649403600828
"159","0.25","0.25","1.4",".","cubic",0.101168265349507,0.385566754742213,1296,-1.33765607441085,1.53999260510986
"160","0.5","0.25","1.4",".","linear",-2.40761637078101,0.385566754742213,1296,-3.84644071054136,-0.968792031020654
"161","0.5","0.25","1.4",".","quadratic",0.224568102630016,0.172430694693515,1296,-0.418893703647065,0.868029908907097
"162","0.5","0.25","1.4",".","cubic",0.0412078293406591,0.385566754742212,1296,-1.39761651041969,1.48003216910101
"163","0","0.5","1.4",".","linear",-5.63621848489831,0.385566754742212,1296,-7.07504282465866,-4.19739414513796
"164","0","0.5","1.4",".","quadratic",0.437350660827617,0.172430694693515,1296,-0.206111145449463,1.0808124671047
"165","0","0.5","1.4",".","cubic",0.046521332776004,0.385566754742213,1296,-1.39230300698435,1.48534567253636
"166","0.25","0.5","1.4",".","linear",-2.30787151310296,0.385566754742212,1296,-3.74669585286331,-0.869047173342609
"167","0.25","0.5","1.4",".","quadratic",0.164426128271395,0.172430694693515,1296,-0.479035678005685,0.807887934548474
"168","0.25","0.5","1.4",".","cubic",0.278146645326426,0.385566754742214,1296,-1.16067769443393,1.71697098508678
"169","0.5","0.5","1.4",".","linear",-1.4890546060531,0.385566754742212,1296,-2.92787894581345,-0.0502302662927492
"170","0.5","0.5","1.4",".","quadratic",0.101602877426384,0.172430694693515,1296,-0.541858928850696,0.745064683703464
