"","contrast","nu","vaxrate","beta","estimate","SE","df","lower.CL","upper.CL"
"48","betap1.75 - betap2","0.25","0.5","1.4",0.0929447581093133,0.121926913502492,1296,-0.229224474685735,0.415113990904361
"49","betap1.25 - betap1.5","0.5","0.5","1.4",0.225257172609491,0.121926913502492,1296,-0.0969120601855564,0.547426405404539
"50","betap1.25 - betap1.75","0.5","0.5","1.4",0.335837223278317,0.121926913502492,1296,0.0136679904832697,0.658006456073364
"51","betap1.25 - betap2","0.5","0.5","1.4",0.459491518461425,0.121926913502492,1296,0.137322285666378,0.781660751256472
"52","betap1.5 - betap1.75","0.5","0.5","1.4",0.110580050668825,0.121926913502492,1296,-0.211589182126222,0.432749283463873
"53","betap1.5 - betap2","0.5","0.5","1.4",0.234234345851933,0.121926913502492,1296,-0.0879348869431145,0.556403578646981
"54","betap1.75 - betap2","0.5","0.5","1.4",0.123654295183108,0.121926913502492,1296,-0.198514937611939,0.445823527978155
"55","betap1.25 - betap1.5","0","0.75","1.4",0.156833200225415,0.121926913502492,1296,-0.165336032569633,0.479002433020462
"56","betap1.25 - betap1.75","0","0.75","1.4",0.439414106511158,0.121926913502492,1296,0.117244873716111,0.761583339306204
"57","betap1.25 - betap2","0","0.75","1.4",0.649586257523386,0.121926913502492,1296,0.327417024728339,0.971755490318432
"58","betap1.5 - betap1.75","0","0.75","1.4",0.282580906285743,0.121926913502492,1296,-0.0395883265093054,0.604750139080791
"59","betap1.5 - betap2","0","0.75","1.4",0.492753057297971,0.121926913502492,1296,0.170583824502924,0.814922290093018
"60","betap1.75 - betap2","0","0.75","1.4",0.210172151012228,0.121926913502492,1296,-0.111997081782821,0.532341383807277
"61","betap1.25 - betap1.5","0.25","0.75","1.4",0.182005135210009,0.121926913502492,1296,-0.140164097585038,0.504174368005057
"62","betap1.25 - betap1.75","0.25","0.75","1.4",0.361031856639511,0.121926913502492,1296,0.038862623844463,0.683201089434558
"63","betap1.25 - betap2","0.25","0.75","1.4",0.440672180588146,0.121926913502492,1296,0.118502947793098,0.762841413383194
"64","betap1.5 - betap1.75","0.25","0.75","1.4",0.179026721429501,0.121926913502492,1296,-0.143142511365546,0.501195954224549
"65","betap1.5 - betap2","0.25","0.75","1.4",0.258667045378136,0.121926913502492,1296,-0.0635021874169102,0.580836278173183
"66","betap1.75 - betap2","0.25","0.75","1.4",0.0796403239486352,0.121926913502492,1296,-0.242528908846413,0.401809556743683
"67","betap1.25 - betap1.5","0.5","0.75","1.4",0.116612163737102,0.121926913502492,1296,-0.205557069057946,0.43878139653215
"68","betap1.25 - betap1.75","0.5","0.75","1.4",0.168920095258219,0.121926913502492,1296,-0.15324913753683,0.491089328053267
"69","betap1.25 - betap2","0.5","0.75","1.4",0.299605982255487,0.121926913502493,1296,-0.0225632505395638,0.621775215050537
