"","contrast","nu","betap","beta","estimate","SE","df","lower.CL","upper.CL"
"33","vaxrate0 - vaxrate0.75","0.5","1.5","1.4",1.7957242494985,0.121926913502492,1296,1.47355501670345,2.11789348229355
"34","vaxrate0.25 - vaxrate0.5","0.5","1.5","1.4",0.662204634472337,0.121926913502492,1296,0.340035401677289,0.984373867267385
"35","vaxrate0.25 - vaxrate0.75","0.5","1.5","1.4",1.29092531682361,0.121926913502492,1296,0.968756084028563,1.61309454961866
"36","vaxrate0.5 - vaxrate0.75","0.5","1.5","1.4",0.628720682351273,0.121926913502492,1296,0.306551449556226,0.950889915146321
"37","vaxrate0 - vaxrate0.25","0","1.75","1.4",2.8475793520552,0.121926913502492,1296,2.52541011926015,3.16974858485025
"38","vaxrate0 - vaxrate0.5","0","1.75","1.4",4.49621506253433,0.121926913502492,1296,4.17404582973928,4.81838429532938
"39","vaxrate0 - vaxrate0.75","0","1.75","1.4",5.77818958566858,0.121926913502492,1296,5.45602035287353,6.10035881846362
"40","vaxrate0.25 - vaxrate0.5","0","1.75","1.4",1.64863571047913,0.121926913502492,1296,1.32646647768408,1.97080494327417
"41","vaxrate0.25 - vaxrate0.75","0","1.75","1.4",2.93061023361338,0.121926913502492,1296,2.60844100081833,3.25277946640842
"42","vaxrate0.5 - vaxrate0.75","0","1.75","1.4",1.28197452313425,0.121926913502492,1296,0.9598052903392,1.6041437559293
"43","vaxrate0 - vaxrate0.25","0.25","1.75","1.4",0.689001642187941,0.121926913502492,1296,0.366832409392894,1.01117087498299
"44","vaxrate0 - vaxrate0.5","0.25","1.75","1.4",1.50050040975589,0.121926913502492,1296,1.17833117696085,1.82266964255094
"45","vaxrate0 - vaxrate0.75","0.25","1.75","1.4",2.28524779388194,0.121926913502492,1296,1.96307856108689,2.60741702667699
"46","vaxrate0.25 - vaxrate0.5","0.25","1.75","1.4",0.811498767567952,0.121926913502492,1296,0.489329534772904,1.133668000363
"47","vaxrate0.25 - vaxrate0.75","0.25","1.75","1.4",1.596246151694,0.121926913502492,1296,1.27407691889895,1.91841538448905
"48","vaxrate0.5 - vaxrate0.75","0.25","1.75","1.4",0.784747384126045,0.121926913502492,1296,0.462578151330997,1.10691661692109
"49","vaxrate0 - vaxrate0.25","0.5","1.75","1.4",0.578297710429902,0.121926913502492,1296,0.256128477634854,0.90046694322495
"50","vaxrate0 - vaxrate0.5","0.5","1.75","1.4",1.09795840969077,0.121926913502492,1296,0.775789176895718,1.42012764248581
"51","vaxrate0 - vaxrate0.75","0.5","1.75","1.4",1.66840697289433,0.121926913502492,1296,1.34623774009928,1.99057620568938
"52","vaxrate0.25 - vaxrate0.5","0.5","1.75","1.4",0.519660699260864,0.121926913502492,1296,0.197491466465817,0.841829932055911
"53","vaxrate0.25 - vaxrate0.75","0.5","1.75","1.4",1.09010926246443,0.121926913502492,1296,0.767940029669381,1.41227849525948
"54","vaxrate0.5 - vaxrate0.75","0.5","1.75","1.4",0.570448563203565,0.121926913502492,1296,0.248279330408517,0.892617795998612
"55","vaxrate0 - vaxrate0.25","0","2","1.4",1.78611597632975,0.121926913502492,1296,1.4639467435347,2.1082852091248
"56","vaxrate0 - vaxrate0.5","0","2","1.4",3.16076818157158,0.121926913502492,1296,2.83859894877653,3.48293741436662
"57","vaxrate0 - vaxrate0.75","0","2","1.4",4.31727260419723,0.121926913502492,1296,3.99510337140218,4.63944183699228
"58","vaxrate0.25 - vaxrate0.5","0","2","1.4",1.37465220524183,0.121926913502492,1296,1.05248297244678,1.69682143803687
"59","vaxrate0.25 - vaxrate0.75","0","2","1.4",2.53115662786748,0.121926913502492,1296,2.20898739507243,2.85332586066253
"60","vaxrate0.5 - vaxrate0.75","0","2","1.4",1.15650442262565,0.121926913502492,1296,0.834335189830607,1.4786736554207
"61","vaxrate0 - vaxrate0.25","0.25","2","1.4",0.740020187219528,0.121926913502492,1296,0.41785095442448,1.06218942001458
"62","vaxrate0 - vaxrate0.5","0.25","2","1.4",1.30719498028673,0.121926913502492,1296,0.98502574749168,1.62936421308177
"63","vaxrate0 - vaxrate0.75","0.25","2","1.4",2.07863793025209,0.121926913502492,1296,1.75646869745705,2.40080716304714
"64","vaxrate0.25 - vaxrate0.5","0.25","2","1.4",0.567174793067199,0.121926913502492,1296,0.245005560272151,0.889344025862248
"65","vaxrate0.25 - vaxrate0.75","0.25","2","1.4",1.33861774303257,0.121926913502492,1296,1.01644851023752,1.66078697582762
"66","vaxrate0.5 - vaxrate0.75","0.25","2","1.4",0.771442949965367,0.121926913502492,1296,0.449273717170319,1.09361218276042
"67","vaxrate0 - vaxrate0.25","0.5","2","1.4",0.354773418400377,0.121926913502492,1296,0.032604185605329,0.676942651195425
"68","vaxrate0 - vaxrate0.5","0.5","2","1.4",0.877852392949388,0.121926913502492,1296,0.55568316015434,1.20002162574444
"69","vaxrate0 - vaxrate0.75","0.5","2","1.4",1.45533254796711,0.121926913502493,1296,1.13316331517206,1.77750178076216
"70","vaxrate0.25 - vaxrate0.5","0.5","2","1.4",0.523078974549011,0.121926913502491,1296,0.200909741753966,0.845248207344056
"71","vaxrate0.25 - vaxrate0.75","0.5","2","1.4",1.10055912956674,0.121926913502491,1296,0.778389896771691,1.42272836236178
"72","vaxrate0.5 - vaxrate0.75","0.5","2","1.4",0.577480155017725,0.121926913502492,1296,0.255310922222678,0.899649387812772
"73","vaxrate0 - vaxrate0.25","0","1.25","1.75",3.62163805301533,0.121926913502491,1296,3.29946882022029,3.94380728581038
"74","vaxrate0 - vaxrate0.5","0","1.25","1.75",6.43146312997476,0.121926913502492,1296,6.10929389717972,6.75363236276981
"75","vaxrate0 - vaxrate0.75","0","1.25","1.75",8.61525885247258,0.121926913502491,1296,8.29308961967754,8.93742808526763
"76","vaxrate0.25 - vaxrate0.5","0","1.25","1.75",2.80982507695943,0.121926913502492,1296,2.48765584416438,3.13199430975448
"77","vaxrate0.25 - vaxrate0.75","0","1.25","1.75",4.99362079945725,0.121926913502492,1296,4.6714515666622,5.3157900322523
"78","vaxrate0.5 - vaxrate0.75","0","1.25","1.75",2.18379572249782,0.121926913502492,1296,1.86162648970277,2.50596495529287
"79","vaxrate0 - vaxrate0.25","0.25","1.25","1.75",0.805375590564643,0.121926913502492,1296,0.483206357769596,1.12754482335969
"80","vaxrate0 - vaxrate0.5","0.25","1.25","1.75",1.81482470484623,0.121926913502492,1296,1.49265547205119,2.13699393764128
