"","contrast","nu","vaxrate","beta","estimate","SE","df","lower.CL","upper.CL"
"47","betap1.5 - betap2","0.3","0.3","1.75",0.513078135172077,0.0628572430150314,4752,0.347175079506393,0.678981190837762
"48","betap1.75 - betap2","0.3","0.3","1.75",0.222706455746051,0.0628572430150332,4752,0.0568034000803612,0.38860951141174
"49","betap1.25 - betap1.5","0","0","2.1",1.26303144949441,0.0628572430150343,4752,1.09712839382872,1.4289345051601
"50","betap1.25 - betap1.75","0","0","2.1",2.23201918867953,0.0628572430150332,4752,2.06611613301384,2.39792224434522
"51","betap1.25 - betap2","0","0","2.1",3.03379390612344,0.0628572430150333,4752,2.86789085045775,3.19969696178913
"52","betap1.5 - betap1.75","0","0","2.1",0.968987739185116,0.0628572430150349,4752,0.803084683519422,1.13489079485081
"53","betap1.5 - betap2","0","0","2.1",1.77076245662903,0.0628572430150355,4752,1.60485940096333,1.93666551229472
"54","betap1.75 - betap2","0","0","2.1",0.801774717443912,0.0628572430150328,4752,0.635871661778223,0.9676777731096
"55","betap1.25 - betap1.5","0.3","0","2.1",0.46791237511428,0.062857243015033,4752,0.302009319448592,0.633815430779969
"56","betap1.25 - betap1.75","0.3","0","2.1",0.817596570914106,0.0628572430150343,4752,0.651693515248414,0.983499626579798
"57","betap1.25 - betap2","0.3","0","2.1",1.10628582736536,0.0628572430150331,4752,0.940382771699667,1.27218888303105
"58","betap1.5 - betap1.75","0.3","0","2.1",0.349684195799826,0.0628572430150336,4752,0.183781140134135,0.515587251465516
"59","betap1.5 - betap2","0.3","0","2.1",0.638373452251076,0.0628572430150318,4752,0.472470396585391,0.804276507916762
"60","betap1.75 - betap2","0.3","0","2.1",0.288689256451251,0.062857243015035,4752,0.122786200785556,0.454592312116945
"61","betap1.25 - betap1.5","0","0.3","2.1",1.3610077641223,0.0628572430150325,4752,1.19510470845661,1.52691081978799
"62","betap1.25 - betap1.75","0","0.3","2.1",2.14932897755336,0.0628572430150326,4752,1.98342592188767,2.31523203321905
"63","betap1.25 - betap2","0","0.3","2.1",2.72479329701644,0.0628572430150318,4752,2.55889024135076,2.89069635268213
"64","betap1.5 - betap1.75","0","0.3","2.1",0.788321213431061,0.0628572430150328,4752,0.622418157765372,0.954224269096749
"65","betap1.5 - betap2","0","0.3","2.1",1.36378553289414,0.0628572430150325,4752,1.19788247722845,1.52968858855983
"66","betap1.75 - betap2","0","0.3","2.1",0.575464319463081,0.0628572430150332,4752,0.409561263797392,0.741367375128771
"67","betap1.25 - betap1.5","0.3","0.3","2.1",0.367518319098678,0.0628572430150352,4752,0.201615263432983,0.533421374764373
"68","betap1.25 - betap1.75","0.3","0.3","2.1",0.639607889345833,0.0628572430150366,4752,0.473704833680134,0.805510945011531
"69","betap1.25 - betap2","0.3","0.3","2.1",0.868746651930315,0.0628572430150375,4752,0.702843596264614,1.03464970759602
"70","betap1.5 - betap1.75","0.3","0.3","2.1",0.272089570247155,0.062857243015033,4752,0.106186514581466,0.437992625912844
"71","betap1.5 - betap2","0.3","0.3","2.1",0.501228332831637,0.0628572430150302,4752,0.335325277165955,0.667131388497318
"72","betap1.75 - betap2","0.3","0.3","2.1",0.229138762584482,0.0628572430150344,4752,0.0632357069187895,0.395041818250175
