"","areaType","areaName","areaCode","date","variant","cumWeeklySequenced","newWeeklyPercentage"
"65","nation","England","E92000001","2021-03-21","V-22DEC-01 (Omicron CH.1.1)",0,0
"66","nation","England","E92000001","2021-03-21","V-22JUL-01 (Omicron BA.2.75)",0,0
"67","nation","England","E92000001","2021-03-21","V-22OCT-01 (Omicron BQ.1)",0,0
"68","nation","England","E92000001","2021-03-21","VOC-21NOV-01 (Omicron BA.1)",0,0
"69","nation","England","E92000001","2021-03-21","VOC-22APR-03 (Omicron BA.4)",0,0
"70","nation","England","E92000001","2021-03-21","VOC-22APR-04 (Omicron BA.5)",0,0
"71","nation","England","E92000001","2021-03-21","VOC-22JAN-01 (Omicron BA.2)",0,0
"72","nation","England","E92000001","2021-03-21","unclassified_variant",0,0
"73","nation","England","E92000001","2021-03-28","Other",311537,2.36
"74","nation","England","E92000001","2021-03-28","V-20DEC-01 (Alpha)",311537,97.52
"75","nation","England","E92000001","2021-03-28","V-21APR-02 (Delta B.1.617.2)",311537,0.12
"76","nation","England","E92000001","2021-03-28","V-21OCT-01 (Delta AY 4.2)",0,0
"77","nation","England","E92000001","2021-03-28","V-22DEC-01 (Omicron CH.1.1)",0,0
"78","nation","England","E92000001","2021-03-28","V-22JUL-01 (Omicron BA.2.75)",0,0
"79","nation","England","E92000001","2021-03-28","V-22OCT-01 (Omicron BQ.1)",0,0
"80","nation","England","E92000001","2021-03-28","VOC-21NOV-01 (Omicron BA.1)",0,0
"81","nation","England","E92000001","2021-03-28","VOC-22APR-03 (Omicron BA.4)",0,0
"82","nation","England","E92000001","2021-03-28","VOC-22APR-04 (Omicron BA.5)",0,0
"83","nation","England","E92000001","2021-03-28","VOC-22JAN-01 (Omicron BA.2)",0,0
"84","nation","England","E92000001","2021-03-28","unclassified_variant",0,0
"85","nation","England","E92000001","2021-04-04","Other",318387,3.12
"86","nation","England","E92000001","2021-04-04","V-20DEC-01 (Alpha)",318387,95.61
"87","nation","England","E92000001","2021-04-04","V-21APR-02 (Delta B.1.617.2)",318387,1.27
"88","nation","England","E92000001","2021-04-04","V-21OCT-01 (Delta AY 4.2)",0,0
"89","nation","England","E92000001","2021-04-04","V-22DEC-01 (Omicron CH.1.1)",0,0
"90","nation","England","E92000001","2021-04-04","V-22JUL-01 (Omicron BA.2.75)",0,0
"91","nation","England","E92000001","2021-04-04","V-22OCT-01 (Omicron BQ.1)",0,0
"92","nation","England","E92000001","2021-04-04","VOC-21NOV-01 (Omicron BA.1)",0,0
"93","nation","England","E92000001","2021-04-04","VOC-22APR-03 (Omicron BA.4)",0,0
"94","nation","England","E92000001","2021-04-04","VOC-22APR-04 (Omicron BA.5)",0,0
"95","nation","England","E92000001","2021-04-04","VOC-22JAN-01 (Omicron BA.2)",0,0
"96","nation","England","E92000001","2021-04-04","unclassified_variant",0,0
"97","nation","England","E92000001","2021-04-11","Other",324368,3.51
"98","nation","England","E92000001","2021-04-11","V-20DEC-01 (Alpha)",324368,93.53
"99","nation","England","E92000001","2021-04-11","V-21APR-02 (Delta B.1.617.2)",324368,2.96
"100","nation","England","E92000001","2021-04-11","V-21OCT-01 (Delta AY 4.2)",0,0
"101","nation","England","E92000001","2021-04-11","V-22DEC-01 (Omicron CH.1.1)",0,0
"102","nation","England","E92000001","2021-04-11","V-22JUL-01 (Omicron BA.2.75)",0,0
"103","nation","England","E92000001","2021-04-11","V-22OCT-01 (Omicron BQ.1)",0,0
"104","nation","England","E92000001","2021-04-11","VOC-21NOV-01 (Omicron BA.1)",0,0
"105","nation","England","E92000001","2021-04-11","VOC-22APR-03 (Omicron BA.4)",0,0
"106","nation","England","E92000001","2021-04-11","VOC-22APR-04 (Omicron BA.5)",0,0
"107","nation","England","E92000001","2021-04-11","VOC-22JAN-01 (Omicron BA.2)",0,0
"108","nation","England","E92000001","2021-04-11","unclassified_variant",0,0
"109","nation","England","E92000001","2021-04-18","Other",330439,4.04
"110","nation","England","E92000001","2021-04-18","V-20DEC-01 (Alpha)",330439,89.05
"111","nation","England","E92000001","2021-04-18","V-21APR-02 (Delta B.1.617.2)",330439,6.92
"112","nation","England","E92000001","2021-04-18","V-21OCT-01 (Delta AY 4.2)",0,0
"113","nation","England","E92000001","2021-04-18","V-22DEC-01 (Omicron CH.1.1)",0,0
"114","nation","England","E92000001","2021-04-18","V-22JUL-01 (Omicron BA.2.75)",0,0
"115","nation","England","E92000001","2021-04-18","V-22OCT-01 (Omicron BQ.1)",0,0
"116","nation","England","E92000001","2021-04-18","VOC-21NOV-01 (Omicron BA.1)",0,0
"117","nation","England","E92000001","2021-04-18","VOC-22APR-03 (Omicron BA.4)",0,0
"118","nation","England","E92000001","2021-04-18","VOC-22APR-04 (Omicron BA.5)",0,0
"119","nation","England","E92000001","2021-04-18","VOC-22JAN-01 (Omicron BA.2)",0,0
"120","nation","England","E92000001","2021-04-18","unclassified_variant",0,0
"121","nation","England","E92000001","2021-04-25","Other",336253,3.65
"122","nation","England","E92000001","2021-04-25","V-20DEC-01 (Alpha)",336253,83.64
"123","nation","England","E92000001","2021-04-25","V-21APR-02 (Delta B.1.617.2)",336253,12.71
"124","nation","England","E92000001","2021-04-25","V-21OCT-01 (Delta AY 4.2)",0,0
"125","nation","England","E92000001","2021-04-25","V-22DEC-01 (Omicron CH.1.1)",0,0
"126","nation","England","E92000001","2021-04-25","V-22JUL-01 (Omicron BA.2.75)",0,0
"127","nation","England","E92000001","2021-04-25","V-22OCT-01 (Omicron BQ.1)",0,0
"128","nation","England","E92000001","2021-04-25","VOC-21NOV-01 (Omicron BA.1)",0,0
"129","nation","England","E92000001","2021-04-25","VOC-22APR-03 (Omicron BA.4)",0,0
"130","nation","England","E92000001","2021-04-25","VOC-22APR-04 (Omicron BA.5)",0,0
"131","nation","England","E92000001","2021-04-25","VOC-22JAN-01 (Omicron BA.2)",0,0
"132","nation","England","E92000001","2021-04-25","unclassified_variant",0,0
"133","nation","England","E92000001","2021-05-02","Other",342284,2.97
"134","nation","England","E92000001","2021-05-02","V-20DEC-01 (Alpha)",342284,70.92
"135","nation","England","E92000001","2021-05-02","V-21APR-02 (Delta B.1.617.2)",342284,26.12
"136","nation","England","E92000001","2021-05-02","V-21OCT-01 (Delta AY 4.2)",0,0
"137","nation","England","E92000001","2021-05-02","V-22DEC-01 (Omicron CH.1.1)",0,0
"138","nation","England","E92000001","2021-05-02","V-22JUL-01 (Omicron BA.2.75)",0,0
"139","nation","England","E92000001","2021-05-02","V-22OCT-01 (Omicron BQ.1)",0,0
"140","nation","England","E92000001","2021-05-02","VOC-21NOV-01 (Omicron BA.1)",0,0
"141","nation","England","E92000001","2021-05-02","VOC-22APR-03 (Omicron BA.4)",0,0
"142","nation","England","E92000001","2021-05-02","VOC-22APR-04 (Omicron BA.5)",0,0
"143","nation","England","E92000001","2021-05-02","VOC-22JAN-01 (Omicron BA.2)",0,0
"144","nation","England","E92000001","2021-05-02","unclassified_variant",0,0
"145","nation","England","E92000001","2021-05-09","Other",348154,2.49
"146","nation","England","E92000001","2021-05-09","V-20DEC-01 (Alpha)",348154,54.89
"147","nation","England","E92000001","2021-05-09","V-21APR-02 (Delta B.1.617.2)",348154,42.62
"148","nation","England","E92000001","2021-05-09","V-21OCT-01 (Delta AY 4.2)",0,0
"149","nation","England","E92000001","2021-05-09","V-22DEC-01 (Omicron CH.1.1)",0,0
"150","nation","England","E92000001","2021-05-09","V-22JUL-01 (Omicron BA.2.75)",0,0
"151","nation","England","E92000001","2021-05-09","V-22OCT-01 (Omicron BQ.1)",0,0
"152","nation","England","E92000001","2021-05-09","VOC-21NOV-01 (Omicron BA.1)",0,0
"153","nation","England","E92000001","2021-05-09","VOC-22APR-03 (Omicron BA.4)",0,0
"154","nation","England","E92000001","2021-05-09","VOC-22APR-04 (Omicron BA.5)",0,0
"155","nation","England","E92000001","2021-05-09","VOC-22JAN-01 (Omicron BA.2)",0,0
"156","nation","England","E92000001","2021-05-09","unclassified_variant",0,0
"157","nation","England","E92000001","2021-05-16","Other",355702,1.62
